cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
319	3	8226	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
320	3	16418	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
321	3	32802	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
322	3	65570	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
323	3	194	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
324	3	322	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
325	3	578	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
326	3	1090	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
327	3	2114	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
328	3	4162	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
329	3	8258	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
330	3	16450	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
331	3	32834	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
332	3	65602	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
333	3	386	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
334	3	642	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
335	3	1154	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
336	3	2178	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
337	3	4226	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
338	3	8322	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
339	3	16514	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
340	3	32898	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
341	3	65666	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
342	3	770	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
343	3	1282	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
344	3	2306	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
345	3	4354	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
346	3	8450	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
347	3	16642	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
348	3	33026	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
349	3	65794	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
350	3	1538	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
351	3	2562	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
352	3	4610	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
353	3	8706	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
354	3	16898	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
355	3	33282	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
356	3	66050	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
357	3	3074	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
358	3	5122	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
359	3	9218	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
360	3	17410	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
361	3	33794	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
362	3	66562	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
363	3	6146	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
364	3	10242	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
365	3	18434	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
366	3	34818	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
367	3	67586	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
